3	4	0	0	2
5	6	1	0	2
2	7	2	0	1
10	11	3	0	9
12	13	4	0	9
9	14	5	0	8
15	16	6	0	8
8	17	7	0	1
18	19	8	0	1
20	21	9	0	1
1	22	10	0	0
26	27	11	0	25
28	29	12	0	25
25	30	13	0	24
33	34	14	0	32
35	36	15	0	32
37	38	16	0	32
32	39	17	0	31
40	41	18	0	31
31	42	19	0	24
44	45	20	0	43
46	47	21	0	43
43	48	22	0	24
49	50	23	0	24
24	51	24	0	23
52	53	25	0	23
23	54	26	0	0
55	56	27	0	0
0	57	28	0	NULL
61	62	29	1	60
63	64	30	1	60
60	65	31	1	59
69	70	32	1	68
71	72	33	1	68
68	73	34	1	67
74	75	35	1	67
67	76	36	1	66
79	80	37	1	78
81	82	38	1	78
78	83	39	1	77
86	87	40	1	85
88	89	41	1	85
90	91	42	1	85
92	93	43	1	85
85	94	44	1	84
95	96	45	1	84
84	97	46	1	77
77	98	47	1	66
99	100	48	1	66
66	101	49	1	59
102	103	50	1	59
104	105	51	1	59
59	106	52	1	58
111	112	53	1	110
110	113	54	1	109
116	117	55	1	115
118	119	56	1	115
120	121	57	1	115
115	122	58	1	114
125	126	59	1	124
127	128	60	1	124
129	130	61	1	124
131	132	62	1	124
124	133	63	1	123
134	135	64	1	123
123	136	65	1	114
114	137	66	1	109
109	138	67	1	108
139	140	68	1	108
108	141	69	1	107
142	143	70	1	107
107	144	71	1	58
145	146	72	1	58
58	147	73	1	NULL
151	152	0	2	150
153	154	1	2	150
150	155	2	2	149
158	159	3	2	157
160	161	4	2	157
157	162	5	2	156
163	164	6	2	156
156	165	7	2	149
166	167	8	2	149
168	169	9	2	149
149	170	10	2	148
174	175	11	2	173
176	177	12	2	173
173	178	13	2	172
181	182	14	2	180
183	184	15	2	180
185	186	16	2	180
180	187	17	2	179
188	189	18	2	179
179	190	19	2	172
192	193	20	2	191
194	195	21	2	191
191	196	22	2	172
197	198	23	2	172
172	199	24	2	171
200	201	25	2	171
171	202	26	2	148
203	204	27	2	148
148	205	28	2	NULL
209	210	29	3	208
211	212	30	3	208
208	213	31	3	207
217	218	32	3	216
219	220	33	3	216
216	221	34	3	215
222	223	35	3	215
215	224	36	3	214
227	228	37	3	226
229	230	38	3	226
226	231	39	3	225
234	235	40	3	233
236	237	41	3	233
238	239	42	3	233
240	241	43	3	233
233	242	44	3	232
243	244	45	3	232
232	245	46	3	225
225	246	47	3	214
247	248	48	3	214
214	249	49	3	207
250	251	50	3	207
252	253	51	3	207
207	254	52	3	206
259	260	53	3	258
258	261	54	3	257
264	265	55	3	263
266	267	56	3	263
268	269	57	3	263
263	270	58	3	262
273	274	59	3	272
275	276	60	3	272
277	278	61	3	272
279	280	62	3	272
272	281	63	3	271
282	283	64	3	271
271	284	65	3	262
262	285	66	3	257
257	286	67	3	256
287	288	68	3	256
256	289	69	3	255
290	291	70	3	255
255	292	71	3	206
293	294	72	3	206
206	295	73	3	NULL
