0	default_ns	POS	NNP
1	default_ns	POS	NNP
2	default_ns	CAT	NP
3	default_ns	POS	CD
4	default_ns	POS	NNS
5	default_ns	CAT	NP
6	default_ns	POS	JJ
7	default_ns	CAT	ADJP
8	default_ns	POS	,
9	default_ns	POS	,
10	default_ns	CAT	NP
11	default_ns	POS	DT
12	default_ns	POS	NN
13	default_ns	CAT	NP
14	default_ns	POS	DT
15	default_ns	POS	JJ
16	default_ns	POS	NN
17	default_ns	CAT	NP
18	default_ns	POS	IN
19	default_ns	CAT	PP
20	default_ns	POS	NNP
21	default_ns	POS	CD
22	default_ns	CAT	NP
23	default_ns	POS	VB
24	default_ns	CAT	VP
25	default_ns	POS	MD
26	default_ns	CAT	VP
27	default_ns	POS	.
28	default_ns	CAT	S
28	default_ns	TEXT_UNIT	TEXT_UNIT_SENTENCE
29	default_ns	POS	NNP
30	default_ns	POS	NNP
31	default_ns	CAT	NP
32	default_ns	POS	CD
33	default_ns	POS	NNS
34	default_ns	CAT	NP
35	default_ns	POS	JJ
36	default_ns	CAT	ADJP
37	default_ns	POS	JJ
38	default_ns	POS	NN
39	default_ns	CAT	NP
40	default_ns	POS	NNP
41	default_ns	POS	NNP
42	default_ns	POS	NNP
43	default_ns	POS	NNP
44	default_ns	CAT	NP
45	default_ns	POS	IN
46	default_ns	CAT	PP
47	default_ns	CAT	NP
48	default_ns	POS	CC
49	default_ns	CAT	UCP
50	default_ns	POS	,
51	default_ns	POS	,
52	default_ns	CAT	NP
53	default_ns	POS	-NONE-
54	default_ns	CAT	NP
55	default_ns	POS	DT
56	default_ns	POS	JJ
57	default_ns	POS	NN
58	default_ns	CAT	NP
59	default_ns	POS	DT
60	default_ns	POS	JJ
61	default_ns	POS	JJ
62	default_ns	POS	NN
63	default_ns	CAT	NP
64	default_ns	POS	IN
65	default_ns	CAT	PP
66	default_ns	CAT	NP
67	default_ns	CAT	S
68	default_ns	POS	VBN
69	default_ns	CAT	VP
70	default_ns	POS	VBD
71	default_ns	CAT	VP
72	default_ns	POS	.
73	default_ns	CAT	S
73	default_ns	TEXT_UNIT	TEXT_UNIT_SENTENCE
